ID,category,file_name,location,include,archive_date,destroy_date,owner,notes
1468,Escrow Complete,HEMPFIELD SCHOOL DISTRICT - ELEMENTARY SCHOOL,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1469,Escrow Complete,HEMPFIELD SCHOOL DISTRICT - HIRAM R. HERSHEY TRACT,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1470,Escrow Complete,HIGHLAND PARK - HURST,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1471,Escrow Complete,HORIZON VIEW ESTATES,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1472,Escrow Complete,CLIFFORD B. HUFFMAN & SLAUGH HOMES,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1473,Escrow Complete,HESS HOME BUILDERS - SEWER EXTENTION MAIN TO NOLT RD.,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1474,Escrow Complete,HOGAN GROUP - MICHELLE DRIVE,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1475,Escrow Complete,HOMESTEAD VILLAGE - VILLAS & FACILITY EXPANSION,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1476,Escrow Complete,HYDRO-KIRBY WAREHOUSE,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1477,Escrow Complete,INDIAN SPRINGS ESTATES - SECTION 2,"Admin Building,Vault,Completed & Closed,9",,1-Jan-80,1-Jan-80,Adm Asst,
1478,Escrow Complete,FRANK KREIDER SQUASH PLT,"Admin Building,Vault,Completed & Closed,5",,1-Jan-80,1-Jan-80,Adm Asst,
1479,General,Act 29 Energy Audit,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1480,General,Annual Report of Municipal Authorities,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1481,General,Armstrong World Industries,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1482,General,"Auditors-Financials, Minutes & Resolutions- Apr. 2006-Apr. 2007","Admin Building,Vault,General,1",,1-Jan-80,21-Jan-14,Financial Director,
1483,General,"Auditors- Financials, Minutes & Resolutions- Apr. 2005-Apr. 2006","Admin Building,Vault,General,1",,1-Jan-80,21-Jan-14,Financial Director,
1484,General,Auditors- Financials & Minutes- Apr. 2004- Mar. 2005,"Admin Building,Vault,General,1",,1-Jan-80,21-Jan-14,Financial Director,
1485,General,Bank of Lancaster County - 1999 Line of Credit,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1486,General,Certificates of Engineers,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1487,General,Census of Governments,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1488,General,Board Members,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1489,General,Biosolids,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1490,General,Biosolid General Permit,"Admin Building,Vault,General,1","Correspondence, Permits",1-Jan-80,1-Jan-80,Adm Asst,
1491,General,BSC & B - Townships,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1492,General,BSC & B - Financial & Insurance Info for Authority,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1493,General,Bids Unsuccessful,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1494,General,Bidding,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1495,General,BSC & B - Bankruptcy and Collection of Rental Accounts,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1496,General,"Barley, Snyder, Cooper & Barber Financing Techniques","Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1497,General,BSC & B - Bills & Legal Fees,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1498,General,BSC & B - Employee Relations - Sexual Harassment,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Executive Director,
1499,General,"Barley, Snyder, Senft & Cohen - Public Record - Right to Know","Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Executive Director,
1500,General,"Barley, Snyder, Senft & Cohen - General & Employment","Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1501,General,"LASA/Bank of Lancaster County - $2,500,000 Line of Credit","Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1502,General,Discharge Monitoring Reports V - 1/2001 - 2002,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Engineer,
1503,General,Dishcarge Monitoring Reports - 2003 - 2005,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Engineer,
1504,General,Discharge Monitoring Reports - 2006 -,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Engineer,
1505,Pretreatment,DER - NPDES Compliance Inspection Report,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Operations Chief,
1506,General,DER - Discharge Inspection Report,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Engineer,
1507,General,DER - Air Quality Violations,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Engineer,
1508,General,DEP - Spills into Streams,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Engineer,
1509,General,Monthly Sludge Analysis,"Admin Building,Vault,General,1","Correspondence, Report",1-Jan-80,1-Jan-80,Engineer,
1510,General,Corrosion Control,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Engineer,
1511,General,Construction Specifications,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Engineer,
1512,General,Conrail,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Engineer,
1513,General,Connection Moratorium,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Executive Director,
1514,General,Commonwealth Bank - Lost Bonds,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1515,General,Columbia Municpal Authority,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Executive Director,
1516,General,City of Lancaster - Pretreatment,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1517,General,East Hempfield Township,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1518,General,East Hempfield Twp. / Industrial Pretreatment Ordinances,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1519,General,East Petersburg Borough,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1520,General,East Petersburg Boro/ Industrial Pretreatment Ordinances,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1521,General,EPA - Genearl Correspondence,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1522,General,Ethics Code - Statements of Financial Interests 2004 - 2009,"Admin Building,Vault,General,1",Correspondence,1-Jan-80,1-Jan-80,Adm Asst,
1523,General,Ethics Code - Correspondence,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1524,General,Federal Surplus Property Program,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1525,General,Fulton Bank,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1526,General,Fulton Bank - Time Loan,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1527,General,Fulton Bank Line of Credit,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1528,General,Grants,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Financial Director,
1529,General,Industrial Waste - Notice of Violations,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Pretreat Adm,
1530,General,Insurance Certificates 10/1/04-,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1531,General,Intergovernmental Insurance Cooperateive - W.C. Pool,"Admin Building,Vault,General,1",,1-Jan-80,1-Jan-80,Adm Asst,
1532,General,Lancaster County Commissioners,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1533,General,Lancaster County Controller&#039s Office,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1534,General,LASA Applications & Permits - Act 40 - 7/7/89,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1535,General,LASA By-Laws & Articles of Incorporation,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1536,General,LASA Cooperative Druge & Alcohol Testing Program,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1537,General,LASA Dinner Meeting - Four Seasons 10-21-99,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Executive Director,
1538,General,LASA Dinner Meeting - Four Seasons 10-13-98,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Executive Director,
1539,General,LASA Dinner Meeting - Four Seasons 10-16-97,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Executive Director,
1540,General,LASA Dinner Meeting - MU- 10-22-96,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Executive Director,
1541,General,LASA Dinner Meeting with Municipalities 10-19-95,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Executive Director,
1542,General,LASA Dinner Meeting with Municipalities 10-8-94 - Millersville University,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Executive Director,
1543,General,LASA Dinner Meeting With Municipalities - 10-19-93 - Millersville University,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Executive Director,
1544,General,LASA Property Tax Assessments,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1545,General,LASA Vehicle Titles,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1546,General,PA DOT River Road Manor Twp.- SR 0441-007 TR 441,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1547,General,PA DOT Ironville Pike SR 4001-005,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1548,General,PA DOT SR 3017-008 Safe Harbor Road BR,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1549,General,PA DOT Florry Mill,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1550,General,PA DOT SR0030 Section 009 Rts. 30 & 283 Central Widen,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1551,General,PA DOT SR 0023-001 PA 23 & Centerville Road,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1552,General,PA DOT SR 0023-013 PA Rt. 023,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1553,General,PA DOT Right of Way Bausman,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1554,General,Odor Control Reports,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1555,General,Swarr Run Forcemain Railroad Agree. Norfolk Southern,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1556,General,Mountville Boro/Industrial Pretreatment Ordinances,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1557,General,Millersville Borough,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1558,General,Mellon Bank,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1559,General,Manor Twp./ Industrial Pretreatment Ordinances,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1560,General,Manor Twp. Bulk Sewage Agreement,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1561,General,Manor Township Agreement,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1562,General,Manheim Twp. Overlook Phase III (Over our ROW) Improvements,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1563,General,Manheim Township/Industrial Pretreatment Ordinances,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1564,General,Manheim Township Joinder Agreement,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1565,General,Lobbyists,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1566,General,Letort / Perth Hills Mapping,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1567,General,Leola Sewer Authority,"Admin Building,Vault,General,2","Agreements, Correspondence",1-Jan-80,1-Jan-80,Adm Asst,
1568,General,Lancaster Township/ Industrial Pretreatment Ordinances,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1569,General,LCSWMA Right-of-Way,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1570,General,Lancaster County Solid Waste Management Authority,"Admin Building,Vault,General,2",Correspondence,1-Jan-80,1-Jan-80,Adm Asst,
1571,General,PA One Call System Inc.,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1572,General,PennDOT Utility Relocation,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1573,General,PA DOT SR0030 Section 010 Improvements,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1574,General,PA DOT Millersville Borough SR 0741-004 Lancaster Township,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1575,General,PA DOT Central Manor Rd. SR 3017-003,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1576,General,SR 3034-001 Wabank Rd.,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1577,General,PPL Agreements,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1578,General,PA Sales Tax Exemption Cert. To Contractors,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Financial Director,
1579,General,LASA Pension Plan - Contribution Receipts,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Financial Director,
1580,General,Pension Plan- Commonwealth Bank - Trustee,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Financial Director,
1581,General,Pension Plan- Public Employee Retirement Study (Act 205),"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Financial Director,
1582,General,Pension Plan - Correspondence,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Financial Director,
1583,General,Prevailing Wage Act,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Engineer,
1584,General,Procurement Contract Agreements,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Financial Director,
1585,General,Proof of Publication,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1586,General,Public Relations,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1587,General,Railroad Crossing - Rights of Way,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1588,General,Rapho Township,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1589,General,"Rental Property Lease (Graham House, 2229 River Rd. Wash. Boro)","Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1590,General,"Rental Property Lease ( Witmer House 2232 River Rd., Wash. Boro)","Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1591,General,Request for Information (General),"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1592,General,Request for Information (Geographic),"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1593,General,Right to Know Requests,"Admin Building,Vault,General,2",,1-Jan-80,1-Jan-80,Adm Asst,
1594,General,West Hempfield Twp./ Industrial Pretreatment Ordinances,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1595,General,West Hempfield Township,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1596,General,Union - Correspondence,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1597,General,Union Agreements 80-81 Through 1996,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1598,General,Original Union Contracts 1983-84,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1599,General,Union Agreements,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1600,General,Unemployment Compensation Claim Reports,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1601,General,Tritium Exit Signs NRC,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Engineer,
1602,General,Teamag Incorporated,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Engineer,
1603,General,Swarr Run PPL Agreement,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Engineer,
1604,General,Star Rock Farms,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Engineer,
1605,General,Spill Prevention Downstream Notification,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1606,General,LCSWMA/LASA Sludge-Leachate Agreement,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1607,General,Suburban Lancaster Sewer Authority,"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Adm Asst,
1608,General,Shred-it (Destruction of records folder),"Admin Building,Vault,General,3",,1-Jan-80,1-Jan-80,Financial Director,
1609,General,WEST HEMPFIELD TWP. AGREEMENT,"Admin Building,Vault,General,3",Correspondence,1-Jan-80,1-Jan-80,Adm Asst,
1610,General,WEST HEMPFIELD TOWNSHIP,"Admin Building,Vault,General,3",Correspondence,1-Jan-80,1-Jan-80,Adm Asst,1985 to 2001
1611,General,WEST HEMPFIELD TOWNSHIP COLLECTION SYSTEM,"Admin Building,Vault,General,3","Agreements, Correspondence, Invoices",1-Jan-80,1-Jan-80,Adm Asst,"General information from West Hempfield Township concerning Board Appointments, LASA conducting maintenace on Franklin Street PS. 1979 to 1988"
1612,Dead Filed,Right of way Complaints for Washington Boro Sewer Project,"Treatment Plant,Storage Room 211,,","Correspondence, Folder",2-Nov-06,1-Jan-80,Engineer,Washington Boro complaints dating around 2000
1613,Dead Filed,Dept of Labor and Industry,"Treatment Plant,Storage Room 211,,","Correspondence, Legal, Report",2-Nov-06,1-Jan-80,Engineer,Notice of Violation for the treatment plant elevator
1614,Dead Filed,East Hempfield - LASA Administration and Maintenance Building,"Treatment Plant,Storage Room 211,,","Correspondence, Folder",2-Nov-06,1-Jan-80,Engineer,Land Development information and correspondence with East Hempfield Township permits and zoning and planning
1615,Dead Filed,UniformWizard Proposal,"Treatment Plant,Storage Room 211,,",Correspondence,2-Nov-06,1-Jan-80,Engineer,Uniform proposal dating from July 2002
1616,Dead Filed,NPDES Pert II Permit Application Charlestown and Treatment Plant Projects,"Treatment Plant,Storage Room 211,,","Bound Manual, Correspondence, Report",2-Nov-06,1-Jan-80,Engineer,File includes correspondnance with PADEP conerning the Part II permit and It also concerns the Part II Application Manual
1617,Dead Filed,Charlestown Pumping Station Wescott,"Treatment Plant,Storage Room 211,,",Plans,2-Nov-06,1-Jan-80,Engineer,Misc information
1618,Dead Filed,Board Resolutions and Agreements Originals,"Treatment Plant,Storage Room 211,,","Legal, Report",2-Nov-06,1-Jan-80,Engineer,"Wroking copies of resoliutions and some originals. (Not all original)
dating from 1974 to 1987"
1619,Dead Filed,Board Resolutions (Original) dating 1989 to 1991,"Treatment Plant,Storage Room 211,,","Agreements, Correspondence, Legal",2-Nov-06,1-Jan-80,Engineer,Board Resolutions. Not all originals
1620,Dead Filed,Board Resolutions dating from 1968 to 1972,"Treatment Plant,Storage Room 211,,","Correspondence, Legal, Report",2-Nov-06,1-Jan-80,Engineer,not all originals - some are marked up in pencil
1621,Dead Filed,Unsuccessfule Bidders,"Treatment Plant,Storage Room 211,,",Correspondence,2-Nov-06,1-Jan-80,Financial Director,dating from 1991 to 1999
1622,Dead Filed,PA DER Chapter 94 Reports,"Treatment Plant,Storage Room 211,,","Bound Manual, Correspondence, Report",2-Nov-06,1-Jan-80,Engineer,Chapter 94 reports from 1981 to 1986
1623,Dead Filed,Board Meeting Agenda,"Treatment Plant,Storage Room 211,,",Correspondence,2-Nov-06,1-Jan-80,Engineer,Board meeting agendas dating from 1988 to 1995
1624,Dead Filed,PA DER Sludge Reports,"Treatment Plant,Storage Room 211,,","Correspondence, Report",2-Nov-06,1-Jan-80,Engineer,Sludge reports daing from 1983 to 1996
1625,Dead Filed,Board Meeting Minutes 1995,"Treatment Plant,Storage Room 211,,",Correspondence,2-Nov-06,1-Jan-80,Engineer,
1626,Dead Filed,Bid Documents 1990 to 1997,"Treatment Plant,Storage Room 211,,",Correspondence,2-Nov-06,1-Jan-80,Engineer,
1627,Dead Filed,Corrective Action Plan Update,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1628,Dead Filed,Design Memorandum Charlestown Pumping Station Forcemain,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1629,Dead Filed,Design Memorandum Modifications to Charlestown Pumping Station,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1630,Dead Filed,Design Memorandum Primary Clarifiers No. 3,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1631,Dead Filed,Field Investigation Survey to Ascertain I/I Contributions,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1632,Dead Filed,Flood Proofing Modifications to Bluerock No. 2 Pumping Station,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1633,Dead Filed,LASA Corrective Action Plan Update,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1634,Dead Filed,LASA Pension Plan Report,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Ed Lennex,
1635,Dead Filed,LASA Project Status Correction Plan,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1636,Dead Filed,LASA Project Status Report,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1637,Dead Filed,LASA Project Status Summary,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Adm Asst,
1638,Dead Filed,Locust Grove Upgrade - Original Signatures,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1639,Dead Filed,Manheim Township Status of I/I Program,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1640,Dead Filed,Repairs to Grit Chamber,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Adm Asst,
1641,Dead Filed,Repairs to the Process Water Piping System,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1642,Dead Filed,Route 999 Force Main Repairs Air Release Valves,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1643,Dead Filed,Washington boro Sanitary Sewer Collection Volumen 2,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1644,Dead Filed,Washington Boro Sanitary Sewer Collection Volumen 1,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1645,Dead Filed,New Admin. & Maint. Bldg.,"Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1646,Dead Filed,"Pumping Station Feasibility Study for School Lane Hills, Inc.","Treatment Plant,Storage Room 211,1000",,1-Jan-80,1-Jan-80,Engineer,
1647,Dead Filed,New Administration and Maintenance Building,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1648,Dead Filed,Addendum 1 for Repairs to the Grit Chamber,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1649,Dead Filed,Bowling Green Pumping Station Wewell,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1650,Dead Filed,Construction of Valve Vaults at the Final Clarifiers,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1651,Dead Filed,Final Enviornmental Assessment for LASA Expansion,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1652,Dead Filed,Hamlet of Bluerock,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1653,Dead Filed,Miscellaneous Product Info on Third Final Clarifier Project,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1654,Dead Filed,Preliminary Enviornmental Assessment for LASA Expansion,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1655,Dead Filed,Rte. 999 Force Main Repairs Air Release Valves,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1656,Dead Filed,Stormwater Management Report of Authority Building Addition,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1657,Dead Filed,Technical Specifications for Sanitary Sewer Manhole Repair and Rehabilitation,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,,
1658,Dead Filed,Water Pollution Control Plant -  Contract 4,"Treatment Plant,Storage Room 211,1001",,1-Jan-80,1-Jan-80,Engineer,
1659,Dead Filed,Budget Info 1975 to 5 year capacity expenditure Plan 1991,"Treatment Plant,Storage Room 211,1002",,1-Jan-80,1-Jan-80,Engineer,
1660,Dead Filed,Discharge Monitoring Reports 1977-1985,"Treatment Plant,Storage Room 211,1002",,1-Jan-80,1-Jan-80,Engineer,
1661,Dead Filed,Discharge Monitoring Reports 1985-1990,"Treatment Plant,Storage Room 211,1002",,1-Jan-80,1-Jan-80,Engineer,
1662,Dead Filed,Discharge Monitoring Reports - 1995-2000,"Treatment Plant,Storage Room 211,1002",,1-Jan-80,1-Jan-80,Engineer,
1663,Dead Filed,Discharge Monitoring Reports - 1990-1995,"Treatment Plant,Storage Room 211,1002",,1-Jan-80,1-Jan-80,Engineer,
1664,Dead Filed,PA DEP Annual Reports,"Treatment Plant,Storage Room 211,1002",,1-Jan-80,1-Jan-80,Engineer,
1665,Dead Filed,PA DEP Update Newsletters,"Treatment Plant,Storage Room 211,1002",,1-Jan-80,1-Jan-80,Engineer,
1666,Dead Filed,Charlestown - WPCF Upgrade - Acer - Res Rep Phase,"Treatment Plant,Storage Room 211,1003",,1-Jan-80,1-Jan-80,Financial Director,
1667,Dead Filed,Charlestown - WPCF Upgrade - Electrical Wescott,"Treatment Plant,Storage Room 211,1003",,1-Jan-80,1-Jan-80,Financial Director,
1668,Dead Filed,Charlestown - WPCF Upgrade - Prevailing Wage Rates for Wescott,"Treatment Plant,Storage Room 211,1003",,1-Jan-80,1-Jan-80,Financial Director,
1669,Dead Filed,Washington Boro Sewer Project - Design,"Treatment Plant,Storage Room 211,1003",,1-Jan-80,1-Jan-80,Financial Director,
1670,Dead Filed,Washington Boro Sewer Project - Elecrical Contract Financial Folte,"Treatment Plant,Storage Room 211,1003",,1-Jan-80,1-Jan-80,Financial Director,
1671,Dead Filed,Washington Boro Sewer Project - General - Doli,"Treatment Plant,Storage Room 211,1003",,1-Jan-80,1-Jan-80,Financial Director,
